---
当對照表に就いて
==
IME舊字辞書では補ひきれない、新字から舊字への変換漏れを補助する目的による。一対一でない場合が多々ある故に、自動変換ではなく、修正の自動提案を目標とする。

コメント
==
- ファイル先頭の --- から --- 迄はコメント。
- # から改行迄はコメント。

求められる形式
==
```
新字 舊字 舊字 ...
新字 舊字 舊字 ...
...
```
舊字はUnicodeの範囲で記載する事。順番は任意だが、何か統一する規則が有ったはうが、メンテナンスし易いと思はれる。
文字コードはUTF-8。空白は半角空白。改行コードはUnix形式のLFを使用。
---
亜 亞 #あ
桜 櫻 #あう
奥 奧 #あう
悪 惡 #あく
圧 壓 #あつ
医 醫 医 #い
壱 壹 #いち
逸 逸 #いつ
飲 飮 #いん
隠 隱 #いん
羽 羽 #う
栄 榮 #えい
営 營 #えい
鋭 銳 #えい
揺 搖 #えう
遥 遙 #えう
謡 謠 #えう
益 益 #えき
駅 驛 #えき
悦 悅 #えつ
謁 謁 #えつ
閲 閱 #えつ
沿 沿 #えん
塩 鹽 #えん
縁 緣 #えん
艶 艷 #えん
欧 歐 #おう
殴 毆 #おう
応 應 #おう
価 價 #か
仮 假 #か
芽 芽 #が
海 海 #かい
届 屆 #かい
慨 慨 #がい
概 槪 #がい
効 效 #かう
号 號 #がう
殻 殼 #かく
覚 覺 #かく
学 學 #がく
岳 嶽 #がく
喝 喝 #かつ
渇 渴 #かつ
褐 褐 #かつ
割 割 #かつ
陥 陷 #かん
間 閒 #かん
漢 漢 #かん
顔 顏 #がん
気 氣 #き
祈 祈 #き
既 旣 #き
帰 歸 #き
姫 姬 #き
亀 龜 #き
器 器 #き
戯 戲 #ぎ
偽 僞 #ぎ
犠 犧 #ぎ
旧 舊 #きう
郷 鄕 #きゃう
響 響 #きゃう
却 卻 #きゃく
脚 腳 #きゃく
拠 據 #きょ
挙 擧 #きょ
虚 虛 #きょ
勤 勤 #きん
謹 謹 #きん
区 區 #く
駆 驅 #く
禍 禍 #くゎ
画 畫 #ぐゎ
会 會 #くゎい
絵 繪 #くゎい
回 囘 #くゎい
悔 悔 #くゎい
壊 壞 #くゎい
懐 懷 #くゎい
黄 黃 #くゎう
広 廣 #くゎう
鉱 鑛 #くゎう
拡 擴 #くゎく
巻 卷 #くゎん
寛 寬 #くゎん
関 關 #くゎん
館 館 #くゎん
勧 勸 #くゎん
歓 歡 #くゎん
缶 罐 缶 #くゎん
観 觀 #くゎん
勲 勳 #くん
薫 薰 #くん
継 繼 #けい
携 攜 #けい
契 契 #けい
径 徑 #けい
茎 莖 #けい
経 經 #けい
軽 輕 #けい
渓 溪 #けい
鶏 鷄 #けい
恵 惠 #けい
蛍 螢 #けい
掲 揭 #けい
芸 藝 芸 #げい
教 敎 #けう
暁 曉 #げう
撃 擊 #げき
欠 缺 欠 #けつ
挟 挾 #けふ
狭 狹 #けふ
峡 峽 #けふ
頬 頰 #けふ
研 硏 #けん
献 獻 #けん
倹 儉 #けん
験 驗 #けん
検 檢 #けん
険 險 #けん
剣 劍 #けん
県 縣 #けん
圏 圈 #けん
顕 顯 #けん
権 權 #けん
厳 嚴 #げん
戸 戶 #こ
呉 吳 #ご
娯 娛 #ご
恒 恆 #こう
告 吿 #こく
国 國 #こく
黒 黑 #こく
穀 穀 #こく
済 濟 #さい
斎 齋 #さい
砕 碎 #さい
歳 歲 #さい
剤 劑 #ざい
争 爭 #さう
壮 壯 #さう
荘 莊 #さう
装 裝 #さう
巣 巢 #さう
騒 騷 #さう
双 雙 #さう
窓 窻 #さう
捜 搜 #さう
蔵 藏 #ざう
臓 臟 #ざう
殺 殺 #さつ
雑 雜 #ざつ
挿 插 #さふ
賛 贊 #さん
讃 讚 #さん
参 參 #さん
惨 慘 #さん
桟 棧 #さん
蚕 蠶 蚕 #さん
産 產 #さん
残 殘 #ざん
糸 絲 糸 #し
祉 祉 #し
視 視 #し
歯 齒 #し
飼 飼 #し
児 兒 #じ
辞 辭 #じ
収 收 #しう
周 周 #しう
臭 臭 #しう
獣 獸 #じう
叱 𠮟 #しつ
湿 濕 #しつ
実 實 #じつ
渋 澁 #じふ
舎 舍 #しゃ
写 寫 #しゃ
社 社 #しゃ
者 者 #しゃ
煮 煮 #しゃ
尚 尙 #しゃう
祥 祥 #しゃう
将 將 #しゃう
奨 獎 #しゃう
状 狀 #じゃう
城 城 #じゃう
壌 壤 #じゃう
浄 淨 #じゃう
譲 讓 #じゃう
勺 勺 #しゃく
釈 釋 #しゃく
爵 爵 #しゃく
寿 壽 #じゅ
従 從 #じゅう
縦 縱 #じゅう
祝 祝 #しゅく
粛 肅 #しゅく
処 處 #しょ
暑 暑 #しょ
署 署 #しょ
緒 緖 #しょ
諸 諸 #しょ
叙 敍 #じょ
称 稱 #しょう
証 證 証 #しょう
乗 乘 #じょう
剰 剩 #じょう
縄 繩 #じょう
触 觸 #しょく
嘱 囑 #しょく
神 神 #しん
寝 寢 #しん
真 眞 #しん
慎 愼 #しん
尽 盡 #じん
粋 粹 #すい
酔 醉 #すい
穂 穗 #すい
随 隨 #ずい
髄 髓 #ずい
数 數 #すう
枢 樞 #すう
成 成 #せい
声 聲 #せい
青 靑 #せい
清 淸 #せい
晴 晴 #せい
精 精 #せい
静 靜 #せい
斉 齊 #せい
税 稅 #ぜい
焼 燒 #せう
摂 攝 #せつ
窃 竊 #せつ
節 節 #せつ
説 說 #せつ
絶 絕 #ぜつ
渉 涉 #せふ
専 專 #せん
戦 戰 #せん
浅 淺 #せん
践 踐 #せん
銭 錢 #せん
潜 潛 #せん
繊 纖 #せん
禅 禪 #ぜん
祖 祖 #そ
曽 曾 #そう
僧 僧 #そう
層 層 #そう
総 總 #そう
痩 瘦 #そう
増 增 #ぞう
憎 憎 #ぞう
贈 贈 #ぞう
即 卽 #そく
属 屬 #ぞく
続 續 #ぞく
堕 墮 #だ
体 體 #たい
対 對 #たい
帯 帶 #たい
滞 滯 #たい
台 臺 台 #だい
当 當 #たう
党 黨 #たう
稲 稻 #たう
盗 盜 #たう
糖 糖 #たう
択 擇 #たく
沢 澤 #たく
脱 脫 #だつ
単 單 #たん
炭 炭 #たん
担 擔 #たん
胆 膽 #たん
嘆 嘆 #たん
団 團 #だん
弾 彈 #だん
断 斷 #だん
痴 癡 #ち
遅 遲 #ち
昼 晝 #ちう
鋳 鑄 #ちう
聴 聽 #ちゃう
庁 廳 #ちゃう
嬢 孃 #ぢゃう
醸 釀 #ぢゃう
着 著 着 #ちゃく
虫 蟲 虫 #ちゅう
著 著 #ちょ
徴 徵 #ちょう
懲 懲 #ちょう
塚 塚 #ちょう
勅 敕 #ちょく
鎮 鎭 #ちん
図 圖 #づ
逓 遞 #てい
彫 彫 #てう
潮 潮 #てう
条 條 #でう
鉄 鐵 #てつ
畳 疊 #でふ
点 點 #てん
転 轉 #てん
填 塡 #てん
伝 傳 #でん
都 都 #と
冬 冬 #とう
灯 燈 #とう
闘 鬭 #とう
徳 德 #とく
読 讀 #どく
独 獨 #どく
突 突 #とつ
内 內 #ない
悩 惱 #なう
脳 腦 #なう
難 難 #なん
弐 貳 #に
寧 寧 #ねい
覇 霸 #は
拝 拜 #はい
廃 廢 #はい
売 賣 #ばい
梅 梅 #ばい
剥 剝 #はく
麦 麥 #ばく
発 發 #はつ
髪 髮 #はつ
抜 拔 #ばつ
飯 飯 #はん
繁 繁 #はん
晩 晚 #ばん
蛮 蠻 #ばん
卑 卑 #ひ
碑 碑 #ひ
秘 祕 #ひ
弥 彌 #び
賓 賓 #ひん
浜 濱 #ひん
頻 頻 #ひん
敏 敏 #びん
侮 侮 #ぶ
福 福 #ふく
払 拂 #ふつ
仏 佛 #ぶつ
並 竝 #へい
併 倂 #へい
塀 塀 #へい
瓶 甁 #へい
餅 餠 #へい
猫 貓 #べう
変 變 #へん
辺 邊 #へん
弁 弁 辨 瓣 辮 辯 #べん
勉 勉 #べん
歩 步 #ほ
舗 舖 #ほ
宝 寶 #ほう
褒 襃 #ほう
